No,Nama Menu,Energi (kkal),Karbohidrat (gram),Protein (gram),Lemak (gram)
KR-1,Tumis sapi brokoli,"329,15","45,52","11,255","10,96"
KR-2,Sop buah,"89,95","19,125","1,145","1,215"
KR-3,Slim Toast,"342,2","46,23","16,66","9,5"
KR-4,Oatmeal pisang,"302,3","57,393","7,729","60,145"
KR-5,Salad caesar,"286,5","5,435","13,42","22,735"
KR-7,Nasi tongkol bumbu merah,"286,2","6,35","7,5",6
KR-8,Steak ayam hotplate,"313,2","12,61","14,85","23,13"
KR-9,Stuffed tofu with tuna mayo,"344,2","2,74","26,502","24,99"
KR-10,Fruit sorbet,179,"33,4","2,7","3,9"
KR-11,Tahwa,"159,2","33,2","3,5","2,5"
KR-12,Nasi goreng sehat,"316,3","43,5","10,81","10,43"
KR-13,Strawberry milkshake,"134,95","11,505","6,68","7,175"
KR-14,Smoothies bowl,"244,55","428,635","6,623","56,295"
KR-15,Kukis granola,"304,25",42,"5,123","12,515"
KR-16,Pir kukus jahe,"83,12","20,723",209,66
KR-17,Sawi gulung,"147,9","2,64","10,185","11,185"
KR-18,Pancake sayur,"287,7","49,455","12,935","5,54"
KR-19,Royal chocolate avocado,205,"22,22","6,54","9,275"
KR-20,Nasi cakalang suwir daun jeruk,"244,85",44,"14,105","0,81"
KR-21,Bulgogi wrap,"151,3","8,82","12,34","7,57"
KR-22,Ratatouille roll,"326,6","50,45","11,515","10,2"
KR-23,Mango purin,"115,85","13,81","7,81","3,505"
KR-24,Nasi plecing kangkung ikan nila,"266,8","46,756","15,69","1,507"
KR-25,Garlic bread,"143,4",20,"3,2","5,48"
KR-26,Mashed potato,"240,9","15,93","3,8","18,27"
KR-27,Mie yamin,"343,4","28,68","8,82","21,68"
