No,Nama Menu,Energi (kkal),Karbohidrat (gram),Protein (gram),Lemak (gram)
KT-1,Macaroni schotel,574.45,68.65,26.72,21.67
KT-2,Bubur candil,571.525,125.86875,5.9825,4.79375
KT-3,Nasi tempe Salted Egg,650.9,70.6,30.765,28.815
KT-4,Spaghetti Bolognese,680.5,72.35,28.2,20.15
KT-5,Nasi Ayam Teriyaki,600.75,80.1,25.45,15.5
KT-6,Daging Sapi Stroganoff,675.3,55.25,35.6,25.1
KT-7,Pasta Ayam Alfredo,700.8,65.4,30.35,28.75
KT-8,Salmon Panggang dengan Quinoa,590.55,50.2,35.7,22.35
KT-9,Salad Ayam Caesar,560.4,40.35,35.25,25.5
KT-10,Roti Isi Bola Daging,650.9,70.5,30.8,25.25
KT-11,Nasi Goreng Udang,580.6,75.15,28.5,18.65
KT-12,Tahu Tumis dengan Nasi,570.2,70.05,22.8,15.35
KT-13,Sandwich Ayam BBQ Suwir,620.75,65.3,30.65,22.5
KT-14,Taco Daging Sapi,665.85,68.55,28.9,27.25
KT-15,Quesadilla Ayam,690.4,60.8,30.55,30.05
